品牌,型号,颜色,价格,CPU,内存,电池容量,操作系统,摄影,好评率
华为,华为T2211,机身颜色黑色  ,280,空,,后置摄像头1,操作系统安卓,摄像头摄像头总数2像素后置摄像头1：200万像素前置摄像头1：30万像素传感器类型CMOS,5.6星
华为,华为T300,,停产,空,,空,操作系统安卓,摄像头像素30万像素,无评价
华为,华为U5700,机身颜色咖啡色  ,780,空,,后置摄像头1,操作系统安卓,摄像头摄像头总数2像素后置摄像头1：130万像素前置摄像头1：30万像素传感器类型CMOS,8.0星
华为,华为U7310,机身颜色银色  ,1351,空,,后置摄像头1,操作系统安卓,摄像头摄像头总数2像素后置摄像头1：320万像素前置摄像头1：30万像素传感器类型CMOS,10.0星
华为,华为T5050,机身颜色黑色+橙色  ,800,空,,1000mAh,操作系统安卓,摄像头摄像头总数1像素200万像素传感器类型CMOS,7.5星
华为,华为U9130,机身颜色白色  ,停产,空,,空,操作系统安卓,nan,无评价
华为,华为FC8221,机身颜色黑色，白色  ,停产,空,,850mAh,操作系统安卓,nan,无评价
华为,华为F360,机身颜色黑色，白色  ,停产,空,,空,操作系统安卓,nan,无评价
华为,华为C5300,机身颜色黑色+银色  ,323,空,,空,操作系统安卓,nan,无评价
华为,华为2601,机身颜色黑色  ,247,空,,600mAh,操作系统安卓,nan,无评价
华为,华为C7100,机身颜色黑色，玫瑰红  ,430,空,,1050mAh,操作系统安卓,nan,7.0星
华为,华为7168,机身颜色亚黑色，银白色  ,595,空,,900mAh,操作系统安卓,nan,无评价
华为,华为3308,机身颜色咖啡色  ,400,空,,主,操作系统安卓,nan,无评价
华为,华为C2299,机身颜色黑色，白色，橙色  ,383,空,,800mAh,操作系统安卓,nan,无评价
华为,华为2801,机身颜色黑色  ,280,空,,600mAh,操作系统安卓,nan,无评价
华为,华为C2201,机身颜色黑色，银色  ,198,空,,850mAh,操作系统安卓,nan,无评价
华为,华为5588,机身颜色黑色  ,700,空,,1050mAh,操作系统安卓,摄像头摄像头总数1像素130万像素传感器类型CMOS,无评价
华为,华为7200,机身颜色银色  ,1020,空,,1000mAh,操作系统安卓,nan,无评价
华为,华为U8230,机身颜色银色  ,980,空,,后置摄像头1,操作系统安卓,摄像头摄像头总数2像素后置摄像头1：320万像素前置摄像头1：30万像素传感器类型CMOS,6.0星
华为,华为G530,机身颜色黑色，白色  ,停产,双核,,空,操作系统安卓,摄像头摄像头总数2像素后置摄像头1：500万像素前置摄像头1：30万像素传感器类型CMOS闪光灯LED补光灯,8.0星
华为,华为Y618（移动版）,机身颜色黑色  ,500,CPU型号联发科 MT6572A/W,512MB 4GB ,2100mAh,操作系统安卓,摄像头摄像头总数2像素后置摄像头1：500万像素前置摄像头1：30万像素传感器类型CMOS,7.4星
华为,华为T291,机身颜色黑色  ,停产,空,,空,操作系统安卓,nan,无评价
华为,华为C2830,机身颜色黑蓝色  ,停产,空,,空,操作系统安卓,nan,无评价
华为,华为T550,机身颜色黑色  ,1200,空,,空,操作系统安卓,摄像头摄像头总数2像素后置摄像头1：200万像素前置摄像头1：30万像素传感器类型CMOS,4.0星
华为,华为Y610-U00（联通3G）,机身颜色黑色，白色  ,550,空,512MB 4GB ,空,操作系统安卓,摄像头摄像头总数1像素500万像素,6.2星
