品牌,型号,颜色,价格,CPU,内存,电池容量,操作系统,摄影,好评率
联想,联想拯救者Y70（12GB/256GB）,"机身颜色冰魄白,钛晶灰  ",3370,CPU型号高通 骁龙8+ Gen1,12GB 256GB ,5100mAh,操作系统Legion OS,摄像头摄像头总数4摄像头名称后置主摄镜头：主摄镜头后置超广角微距镜头：超广角微距镜头后置景深镜头：景深镜头前置主摄：主摄像素后置主摄镜头：5000万像素后置超广角微距镜头：1300万像素后置景深镜头：200万像素前置主摄：1600万像素防抖功能后置主摄镜头：OIS光学防抖，EIS电子防抖后置超广角微距镜头：OIS光学防抖，EIS电子防抖后置景深镜头：OIS光学防抖，EIS电子防抖传感器类型普通CMOS其他摄像头参数0.273秒急速对焦时间,9.6星
联想,联想拯救者电竞手机Pro（12GB/128GB/全网通/5G版）,"机身颜色炽焰战甲,炫蓝冰刃  ",3748,CPU型号高通 骁龙865 Plus,12GB 128GB ,5000mAh,操作系统Legion OS,摄像头摄像头总数3摄像头名称后置主摄：主摄后置广角微距镜头：广角微距镜头前置主摄：主摄像素后置主摄：6400万像素后置广角微距镜头：1600万像素前置主摄：2000万像素光圈后置主摄：主摄前置主摄：闪光灯LED补光灯（双色温）其他摄像头参数侧边升降摄像头,7.7星
联想,联想拯救者 Y90（16GB/256GB/5G版）,机身颜色钛晶灰  ,4299,CPU型号高通 骁龙8 Gen1,16GB 256GB ,5600mAh,操作系统ZUI 13,摄像头摄像头总数3像素后置摄像头1：6400万像素后置摄像头2：1300万像素前置摄像头1：1600万像素,9.0星
联想,联想拯救者电竞手机2 Pro（8GB/128GB/全网通/5G版）,机身颜色玄青宝器  ,3699,CPU型号高通 骁龙888,8GB 128GB ,5500mAh,操作系统ZUI 12.5,摄像头摄像头总数3摄像头名称后置主摄：主摄后置超广角微距镜头：超广角微距镜头前置主摄：主摄像素后置主摄：6400万像素后置超广角微距镜头：1600万像素前置主摄：4400万像素光圈后置主摄：前置主摄：广角后置主摄：82°后置超广角微距镜头：120°前置主摄：84°后置拍照功能夜景，超清拍照，人像，双屏，微距，专业，全景，慢动作，延时摄影，导演，HDR10+电子变焦，电子防抖，自动对焦后置视频拍摄8K（7680x4320）视频录制前置视频拍摄4K（3840x2160，30帧/秒）视频录制传感器类型普通CMOS闪光灯LED补光灯（双）,6.8星
联想,联想拯救者Y70（8GB/128GB）,"机身颜色冰魄白,钛晶灰  ",2970,CPU型号高通 骁龙8+ Gen1,8GB 128GB ,5100mAh,操作系统Legion OS,摄像头摄像头总数4摄像头名称后置主摄镜头：主摄镜头后置超广角微距镜头：超广角微距镜头后置景深镜头：景深镜头前置主摄：主摄像素后置主摄镜头：5000万像素后置超广角微距镜头：1300万像素后置景深镜头：200万像素前置主摄：1600万像素防抖功能后置主摄镜头：OIS光学防抖，EIS电子防抖后置超广角微距镜头：OIS光学防抖，EIS电子防抖后置景深镜头：OIS光学防抖，EIS电子防抖传感器类型普通CMOS其他摄像头参数0.273秒急速对焦时间,9.6星
联想,联想拯救者电竞手机Pro（8GB/128GB/全网通/5G版）,"机身颜色炽焰战甲,炫蓝冰刃  ",3449,CPU型号高通 骁龙865 Plus,8GB 128GB ,5000mAh,操作系统Legion OS,摄像头摄像头总数3摄像头名称后置主摄：主摄后置广角微距镜头：广角微距镜头前置主摄：主摄像素后置主摄：6400万像素后置广角微距镜头：1600万像素前置主摄：2000万像素光圈后置主摄：主摄前置主摄：闪光灯LED补光灯（双色温）其他摄像头参数侧边升降摄像头,7.7星
联想,联想乐檬K12 Pro（4GB/64GB/全网通）,"机身颜色墨青,绛紫,皓白  ",879,CPU型号高通 骁龙662,4GB 64GB ,6000mAh,操作系统Legion OS,摄像头摄像头总数4摄像头名称后置主摄：主摄后置景深镜头：景深镜头后置微距镜头：微距镜头前置主摄：主摄像素后置主摄：6400万像素后置景深镜头：200万像素后置微距镜头：200万像素前置主摄：1600万像素光圈后置主摄：后置景深镜头：后置微距镜头：前置主摄：传感器类型CMOS闪光灯LED补光灯其他摄像头参数后置主摄：1.4μm后置景深：1.75μm后置微距：1.75μm前置：12μm,8.0星
联想,联想拯救者Y70（16GB/512GB）,"机身颜色冰魄白,钛晶灰  ",4270,CPU型号高通 骁龙8+ Gen1,16GB 512GB ,5100mAh,操作系统Legion OS,摄像头摄像头总数4摄像头名称后置主摄镜头：主摄镜头后置超广角微距镜头：超广角微距镜头后置景深镜头：景深镜头前置主摄：主摄像素后置主摄镜头：5000万像素后置超广角微距镜头：1300万像素后置景深镜头：200万像素前置主摄：1600万像素防抖功能后置主摄镜头：OIS光学防抖，EIS电子防抖后置超广角微距镜头：OIS光学防抖，EIS电子防抖后置景深镜头：OIS光学防抖，EIS电子防抖传感器类型普通CMOS其他摄像头参数0.273秒急速对焦时间,9.6星
联想,联想乐檬K12（4GB/64GB/全网通）,机身颜色渐变蓝，渐变灰  ,799,CPU型号高通 骁龙460,4GB 64GB ,5000mAh,操作系统Legion OS,摄像头摄像头总数3摄像头名称后置主摄：主摄后置景深镜头：景深镜头前置主摄：主摄像素后置主摄：4800万像素后置景深镜头：200万像素前置主摄：800万像素光圈后置主摄：后置景深镜头：前置主摄：闪光灯LED补光灯其他摄像头参数后置主摄：1.6μm后置景深：1.75μm前置：12μm,7.6星
联想,联想乐檬K12 Pro（4GB/128GB/全网通）,"机身颜色墨青,绛紫,皓白  ",1299,CPU型号高通 骁龙662,4GB 128GB ,6000mAh,操作系统Legion OS,摄像头摄像头总数4摄像头名称后置主摄：主摄后置景深镜头：景深镜头后置微距镜头：微距镜头前置主摄：主摄像素后置主摄：6400万像素后置景深镜头：200万像素后置微距镜头：200万像素前置主摄：1600万像素光圈后置主摄：后置景深镜头：后置微距镜头：前置主摄：传感器类型CMOS闪光灯LED补光灯其他摄像头参数后置主摄：1.4μm后置景深：1.75μm后置微距：1.75μm前置：12μm,8.0星
联想,联想拯救者电竞手机2 Pro（18GB/512GB/全网通/5G版）,机身颜色破晓之刃，玄青宝器  ,5999,CPU型号高通 骁龙888,18GB 512GB ,5500mAh,操作系统ZUI 12.5,摄像头摄像头总数3摄像头名称后置主摄：主摄后置超广角微距镜头：超广角微距镜头前置主摄：主摄像素后置主摄：6400万像素后置超广角微距镜头：1600万像素前置主摄：4400万像素光圈后置主摄：前置主摄：广角后置主摄：82°后置超广角微距镜头：120°前置主摄：84°后置拍照功能夜景，超清拍照，人像，双屏，微距，专业，全景，慢动作，延时摄影，导演，HDR10+电子变焦，电子防抖，自动对焦后置视频拍摄8K（7680x4320）视频录制前置视频拍摄4K（3840x2160，30帧/秒）视频录制传感器类型普通CMOS闪光灯LED补光灯（双）,6.8星
联想,联想拯救者 Y90（18GB/640GB/5G版）,机身颜色钛晶灰  ,4999,CPU型号高通 骁龙8 Gen1,18GB 640GB（512+128） ,5600mAh,操作系统ZUI 13,摄像头摄像头总数3像素后置摄像头1：6400万像素后置摄像头2：1300万像素前置摄像头1：1600万像素,9.0星
联想,联想拯救者电竞手机Pro（12GB/256GB/全网通/5G版）,"机身颜色炽焰战甲,炫蓝冰刃  ",3999,CPU型号高通 骁龙865 Plus,12GB 256GB ,5000mAh,操作系统Legion OS,摄像头摄像头总数3摄像头名称后置主摄：主摄后置广角微距镜头：广角微距镜头前置主摄：主摄像素后置主摄：6400万像素后置广角微距镜头：1600万像素前置主摄：2000万像素光圈后置主摄：主摄前置主摄：闪光灯LED补光灯（双色温）其他摄像头参数侧边升降摄像头,7.7星
联想,联想拯救者 Y90（12GB/256GB/5G版）,机身颜色钛晶灰  ,3999,CPU型号高通 骁龙8 Gen1,12GB 256GB ,5600mAh,操作系统ZUI 13,摄像头摄像头总数3像素后置摄像头1：6400万像素后置摄像头2：1300万像素前置摄像头1：1600万像素,9.0星
联想,联想拯救者电竞手机Pro（16GB/512GB/全网通/5G版）,"机身颜色炽焰战甲,炫蓝冰刃  ",5999,CPU型号高通 骁龙865 Plus,16GB 512GB ,5000mAh,操作系统Legion OS,摄像头摄像头总数3摄像头名称后置主摄：主摄后置广角微距镜头：广角微距镜头前置主摄：主摄像素后置主摄：6400万像素后置广角微距镜头：1600万像素前置主摄：2000万像素光圈后置主摄：主摄前置主摄：闪光灯LED补光灯（双色温）其他摄像头参数侧边升降摄像头,7.7星
联想,联想拯救者电竞手机2 Pro（18GB/256GB/全网通/5G版）,机身颜色破晓之刃，玄青宝器  ,4999,CPU型号高通 骁龙888,18GB 256GB ,5500mAh,操作系统ZUI 12.5,摄像头摄像头总数3摄像头名称后置主摄：主摄后置超广角微距镜头：超广角微距镜头前置主摄：主摄像素后置主摄：6400万像素后置超广角微距镜头：1600万像素前置主摄：4400万像素光圈后置主摄：前置主摄：广角后置主摄：82°后置超广角微距镜头：120°前置主摄：84°后置拍照功能夜景，超清拍照，人像，双屏，微距，专业，全景，慢动作，延时摄影，导演，HDR10+电子变焦，电子防抖，自动对焦后置视频拍摄8K（7680x4320）视频录制前置视频拍摄4K（3840x2160，30帧/秒）视频录制传感器类型普通CMOS闪光灯LED补光灯（双）,6.8星
联想,联想拯救者电竞手机2 Pro（12GB/128GB/全网通/5G版）,机身颜色破晓之刃，玄青宝器  ,4099,CPU型号高通 骁龙888,12GB 128GB ,5500mAh,操作系统ZUI 12.5,摄像头摄像头总数3摄像头名称后置主摄：主摄后置超广角微距镜头：超广角微距镜头前置主摄：主摄像素后置主摄：6400万像素后置超广角微距镜头：1600万像素前置主摄：4400万像素光圈后置主摄：前置主摄：广角后置主摄：82°后置超广角微距镜头：120°前置主摄：84°后置拍照功能夜景，超清拍照，人像，双屏，微距，专业，全景，慢动作，延时摄影，导演，HDR10+电子变焦，电子防抖，自动对焦后置视频拍摄8K（7680x4320）视频录制前置视频拍摄4K（3840x2160，30帧/秒）视频录制传感器类型普通CMOS闪光灯LED补光灯（双）,6.8星
联想,联想拯救者电竞手机2 Pro（16GB/512GB/全网通/5G版）,机身颜色破晓之刃，玄青宝器  ,5299,CPU型号高通 骁龙888,16GB 512GB ,5500mAh,操作系统ZUI 12.5,摄像头摄像头总数3摄像头名称后置主摄：主摄后置超广角微距镜头：超广角微距镜头前置主摄：主摄像素后置主摄：6400万像素后置超广角微距镜头：1600万像素前置主摄：4400万像素光圈后置主摄：前置主摄：广角后置主摄：82°后置超广角微距镜头：120°前置主摄：84°后置拍照功能夜景，超清拍照，人像，双屏，微距，专业，全景，慢动作，延时摄影，导演，HDR10+电子变焦，电子防抖，自动对焦后置视频拍摄8K（7680x4320）视频录制前置视频拍摄4K（3840x2160，30帧/秒）视频录制传感器类型普通CMOS闪光灯LED补光灯（双）,6.8星
联想,联想拯救者电竞手机2 Pro（12GB/256GB/全网通/5G版）,机身颜色破晓之刃，玄青宝器  ,4399,CPU型号高通 骁龙888,12GB 256GB ,5500mAh,操作系统ZUI 12.5,摄像头摄像头总数3摄像头名称后置主摄：主摄后置超广角微距镜头：超广角微距镜头前置主摄：主摄像素后置主摄：6400万像素后置超广角微距镜头：1600万像素前置主摄：4400万像素光圈后置主摄：前置主摄：广角后置主摄：82°后置超广角微距镜头：120°前置主摄：84°后置拍照功能夜景，超清拍照，人像，双屏，微距，专业，全景，慢动作，延时摄影，导演，HDR10+电子变焦，电子防抖，自动对焦后置视频拍摄8K（7680x4320）视频录制前置视频拍摄4K（3840x2160，30帧/秒）视频录制传感器类型普通CMOS闪光灯LED补光灯（双）,6.8星
联想,联想K10 note（全网通）,,暂无报价,空,后置摄像头1 64GB/128GB/256GB ,5800mAh,操作系统Legion OS,摄像头像素后置摄像头1：1600万像素后置摄像头2：1600万像素前置摄像头1：1600万像素闪光灯LED补光灯,无评价
联想,联想K80（K80M/高配版/双4G）,机身颜色黑色，白色，灰色，红色  ,1299,空,后置摄像头1 64GB ,4000mAh,操作系统Legion OS,摄像头摄像头总数2像素后置摄像头1：1300万像素前置摄像头1：500万像素光圈闪光灯LED补光灯（双色温）,6.3星
联想,联想拯救者电竞手机2 Pro（16GB/256GB/全网通/5G版）,机身颜色破晓之刃，玄青宝器  ,4499,CPU型号高通 骁龙888,16GB 256GB ,5500mAh,操作系统ZUI 12.5,摄像头摄像头总数3摄像头名称后置主摄：主摄后置超广角微距镜头：超广角微距镜头前置主摄：主摄像素后置主摄：6400万像素后置超广角微距镜头：1600万像素前置主摄：4400万像素光圈后置主摄：前置主摄：广角后置主摄：82°后置超广角微距镜头：120°前置主摄：84°后置拍照功能夜景，超清拍照，人像，双屏，微距，专业，全景，慢动作，延时摄影，导演，HDR10+电子变焦，电子防抖，自动对焦后置视频拍摄8K（7680x4320）视频录制前置视频拍摄4K（3840x2160，30帧/秒）视频录制传感器类型普通CMOS闪光灯LED补光灯（双）,6.8星
联想,联想P70（移动4G/1GB RAM）,机身颜色黑色，白色  ,630,CPU型号联发科 MT6732,1GB 8GB ,4000mAh,操作系统Legion OS,摄像头摄像头总数2像素后置摄像头1：1300万像素前置摄像头1：500万像素传感器类型CMOS闪光灯LED补光灯,6.7星
联想,联想Z5（全网通）,机身颜色舒曼黑，卡侬蓝，极光色，极光蓝，极光紫  ,1399,CPU型号高通 骁龙636,6GB 64GB/128GB ,3300mAh,操作系统Legion OS,摄像头摄像头总数3像素后置摄像头1：1600万像素后置摄像头2：800万像素前置摄像头1：800万像素光圈传感器类型CMOS闪光灯LED补光灯其他摄像头参数第5代3D降噪技术，Ture3D虚化引擎,7.7星
联想,联想S800,机身颜色白色  ,770,空,128MB 256MB ,650mAh,操作系统Legion OS,摄像头摄像头总数1像素200万像素传感器类型CMOS,7.4星
联想,联想乐檬K3（K30-T/1GB RAM/移动4G）,机身颜色典雅黄色，星空黑色，清新白色  ,420,CPU型号高通 骁龙410（MSM8916）,后置摄像头1 16GB ,2300mAh,操作系统Legion OS,摄像头摄像头总数2像素后置摄像头1：800万像素前置摄像头1：200万像素光圈后置视频拍摄）720p（1280×720，30帧/秒）视频录制（前置视频拍摄）传感器类型堆栈式 CMOS（第二代Exmor RS）闪光灯LED补光灯,7.3星
联想,联想K900（16GB）,机身颜色黑色，银色，橙色  ,1600,CPU型号Intel Atom Z2580,2GB 16GB ,2500mAh,操作系统Legion OS,摄像头摄像头总数2像素后置摄像头1：1300万像素前置摄像头1：200万像素光圈传感器类型堆栈式/积层式 CMOS（Exmor RS）闪光灯LED补光灯（双）,7.2星
联想,联想A820（联通版）,机身颜色深紫灰  ,720,CPU型号联发科 MT6589M,1GB 4GB ,2000mAh,操作系统Legion OS,摄像头摄像头总数1像素800万像素光圈后置摄像头1：前置摄像头1：传感器类型CMOS,7.5星
联想,联想3GW101(增强版）,机身颜色黑色，珍珠红色  ,2050,CPU型号高通 骁龙Snapdragon QSD8250,后置摄像头1 512MB ,1500mAh,操作系统Legion OS,摄像头摄像头总数2像素后置摄像头1：500万像素前置摄像头1：30万像素传感器类型CMOS,7.4星
联想,联想Z5s（4GB RAM/全网通）,机身颜色星夜灰  ,880,CPU型号高通 骁龙710AIE,4GB 4G手机，3G手机，智能手 ROM容量 ,3300mAh,操作系统Legion OS,摄像头摄像头总数4像素后置摄像头1：1600万像素后置摄像头2：800万像素后置摄像头3：500万像素前置摄像头1：1600万像素光圈后置摄像头1：后置摄像头2：前置摄像头1：后置拍照功能数码变焦，光学变焦，自动对焦，美颜，连拍，微距，全景，滤镜，场景模式，PDAF，微信小视频，水印，美肤录像前置拍照功能数码变焦，美颜，滤镜，翻转摄像头，微信小视频，水印闪光灯LED补光灯,8.4星
联想,联想Z6 Pro（6GB/128GB/全网通）,机身颜色黑色，蓝色  ,1799,CPU型号高通 骁龙855,6GB 128GB ,屏幕指纹识别（第六代屏 电池容量,操作系统ZUI 11（基于Android P）,摄像头摄像头总数5摄像头名称后置主摄：主摄后置超广角镜头：超广角镜头后置长焦镜头：长焦镜头后置超级视频镜头：超级视频镜头前置主摄：主摄像素后置主摄：4800万像素后置超广角镜头：1600万像素后置长焦镜头：800万像素后置超级视频镜头：200万像素前置主摄：3200万像素光圈后置主摄：后置超广角镜头：后置长焦镜头：后置超级视频镜头：（2.9um）前置主摄：广角125°闪光灯双高显指闪光灯,8.8星
联想,联想K5 Pro（4GB RAM/全网通）,机身颜色格调黑，典雅金  ,898,CPU型号高通 骁龙636,4GB 64GB ,4050mAh,操作系统Legion OS,摄像头摄像头总数4像素后置摄像头1：1600万像素后置摄像头2：500万像素前置摄像头1：1600万像素前置摄像头2：500万像素传感器类型CMOS闪光灯LED补光灯（双）,8.3星
联想,联想Z6（6GB/64GB/全网通）,机身颜色蓝色  ,1098,CPU型号高通 骁龙730,6GB 64GB ,4000mAh,操作系统ZUI 11（基于Android P）,摄像头摄像头总数4像素后置摄像头1：2400万像素后置摄像头2：800万像素后置摄像头3：500万像素前置摄像头1：1600万像素闪光灯后置双高显指闪光灯,8.2星
联想,联想P50（清爽版）,机身颜色白色，银色，红色，粉色，绿色，蓝色，灰色  ,579,空,,900mAh,操作系统Legion OS,摄像头摄像头总数1像素200万像素传感器类型CMOS,7.5星
联想,联想A788t（移动4G）,机身颜色黑色，白色  ,370,CPU型号Marvell PXA1920,1GB 8GB ,2000mAh,操作系统Legion OS,摄像头摄像头总数2像素后置摄像头1：800万像素前置摄像头1：30万像素闪光灯LED补光灯,5.9星
联想,联想VIBE Shot（Z90-3/移动4G）,机身颜色深灰色，白色，红色  ,850,CPU型号高通 骁龙615（MSM8939）,后置摄像头1 16GB/32GB ,3000mAh,操作系统Legion OS,摄像头摄像头总数2像素后置摄像头1：1600万像素前置摄像头1：800万像素传感器类型背照式/BSI CMOS闪光灯LED补光灯（3颗）其他摄像头参数三色补光灯，光学防震，Photo Luminosity技术，红外对焦,7.8星
联想,联想K860i,机身颜色黑色，白色  ,1599,CPU型号三星 Exynos 4412,2GB 16GB ,2250mAh,操作系统Legion OS,摄像头摄像头总数2像素后置摄像头1：800万像素前置摄像头1：200万像素传感器类型CMOS闪光灯LED补光灯（双）,7.4星
联想,联想A820t（移动版）,机身颜色黑色  ,500,CPU型号联发科 MT6589,1GB 4GB ,2000mAh,操作系统Legion OS,摄像头像素800万像素传感器类型CMOS,7.5星
联想,联想VIBE Shot（Z90-7/全网通）,机身颜色深灰色，白色，红色  ,1199,CPU型号高通 骁龙615（MSM8939）,后置摄像头1 16GB/32GB ,3000mAh,操作系统Legion OS,摄像头摄像头总数2像素后置摄像头1：1600万像素前置摄像头1：800万像素传感器类型背照式/BSI CMOS闪光灯LED补光灯（3颗）其他摄像头参数三色补光灯，光学防震，Photo Luminosity技术，红外对焦,7.8星
联想,联想黄金斗士A8（A808T/移动4G）,机身颜色深邃黑色，珍珠白色  ,550,CPU型号联发科 MT6592,2GB 16GB ,2500mAh,操作系统Legion OS,摄像头摄像头总数2像素后置摄像头1：1300万像素前置摄像头1：500万像素光圈传感器类型CMOS闪光灯LED补光灯（双）,8.1星
联想,联想Z6 Pro（8GB/256GB/全网通/5G版）,机身颜色深蓝色  ,3299,CPU型号高通 骁龙855,8GB 256GB ,4000mAh,操作系统ZUI 11,摄像头摄像头总数5摄像头名称后置主摄：主摄后置超广角镜头：超广角镜头后置长焦镜头：长焦镜头后置主摄：主摄前置主摄：主摄像素后置主摄：4800万像素后置超广角镜头：1600万像素后置长焦镜头：800万像素后置主摄：200万像素前置主摄：3200万像素光圈后置主摄：前置主摄：广角125°闪光灯双高显指闪光灯,8.5星
联想,联想黄金斗士S8（S898t/标准版）,机身颜色香槟金色  ,530,CPU型号联发科 MT6592,1GB 8GB ,2000mAh,操作系统Legion OS,摄像头摄像头总数2像素后置摄像头1：1300万像素前置摄像头1：500万像素光圈传感器类型CMOS闪光灯LED补光灯,8.0星
联想,联想P70（移动4G/2GB RAM）,机身颜色黑色，白色  ,550,CPU型号联发科 MT6732,2GB 16GB ,4000mAh,操作系统Legion OS,摄像头摄像头总数2像素后置摄像头1：1300万像素前置摄像头1：500万像素传感器类型CMOS闪光灯LED补光灯,6.7星
联想,联想VIBE Z（K910/联通版）,,1250,CPU型号高通 骁龙800（MSM8974）,后置摄像头1 16GB ,3050mAh,操作系统Legion OS,摄像头摄像头总数2像素后置摄像头1：1300万像素前置摄像头1：500万像素传感器类型堆栈式/积层式 CMOS（Exmor RS）闪光灯LED补光灯（双）,8.3星
联想,联想VIBE X2（X2-TO/移动4G）,机身颜色金色，白色，红色  ,599,CPU型号联发科 MT6595M,2GB 16GB/32GB ,2300mAh,操作系统Legion OS,摄像头摄像头总数2像素后置摄像头1：1300万像素前置摄像头1：500万像素光圈微距8cmcm传感器类型堆栈式 CMOS（二代）闪光灯LED补光灯,6.2星
联想,联想S5（3GB RAM/全网通）,机身颜色星夜黑，烈焰红  ,738,CPU型号高通 骁龙625（MSM8953）,后置摄像头1 32GB ,3000mAh,操作系统Legion OS,摄像头摄像头总数3像素后置摄像头1：1200万像素后置摄像头2：1200万像素前置摄像头1：1600万像素光圈后置摄像头1：前置摄像头1：传感器类型CMOS闪光灯LED补光灯（双色温）,6.9星
联想,联想Z5 Pro（6GB RAM/全网通）,机身颜色陶瓷黑  ,1228,CPU型号高通 骁龙710,6GB 64GB/128GB ,3350mAh,操作系统ZUI 10.0,摄像头摄像头总数4像素后置摄像头1：2400万像素后置摄像头2：1600万像素前置摄像头1：1600万像素前置摄像头2：800万像素光圈后置摄像头1：前置摄像头1：后置拍照功能AF自动对焦，连拍，全景，滤镜，HDR，PDAF，智能识别，超级夜景后置视频拍摄4K（3840x2160，30帧/秒）视频录制 1080p（1920×1080，30帧/秒）视频录制720p（1280×720，30帧/秒）视频录制前置拍照功能美颜，红外人脸识别前置视频拍摄1080p（1920×1080，30帧/秒）视频录制720p（1280×720，30帧/秒）视频录制闪光灯LED补光灯（双色温）,9.2星
联想,联想乐檬X3（双4G）,机身颜色珠峰白  ,1299,CPU型号高通 骁龙808（MSM8992）,后置摄像头1 32GB ,3600mAh,操作系统Legion OS,摄像头摄像头总数2像素后置摄像头1：2100万像素前置摄像头1：800万像素光圈后置摄像头1：前置摄像头1：传感器类型背照式/BSI CMOS（三代）闪光灯LED补光灯,8.3星
联想,联想K80（K80M/标准版/双4G）,机身颜色黑色，白色，灰色，红色  ,619,空,后置摄像头1 32GB ,4000mAh,操作系统Legion OS,摄像头摄像头总数2像素后置摄像头1：1300万像素前置摄像头1：500万像素光圈闪光灯LED补光灯（双色温）,6.3星
联想,联想S820（联通版）,机身颜色红色  ,600,CPU型号联发科 MT6589,1GB 4GB ,2000mAh,操作系统Legion OS,摄像头摄像头总数2像素后置摄像头1：1300万像素前置摄像头1：200万像素传感器类型CMOS闪光灯LED补光灯,7.5星
联想,联想乐檬K3 Note（K50-T5/双4G）,机身颜色珍珠白，典雅黄  ,740,CPU型号联发科 MT6752,2GB 16GB ,3000mAh,操作系统Legion OS,摄像头摄像头总数2像素后置摄像头1：1300万像素前置摄像头1：500万像素光圈闪光灯LED补光灯（双）其他摄像头参数照片GPS定位,7.3星
联想,联想A750,机身颜色黑色  ,500,CPU型号联发科 MT6575,512MB 4GB ,2000mAh,操作系统Legion OS,摄像头摄像头总数2像素后置摄像头1：500万像素前置摄像头1：30万像素传感器类型CMOS,7.9星
联想,联想3GW100,机身颜色彤云色，墨韵色  ,850,CPU型号高通 骁龙Snapdragon QSD8250,后置摄像头1 512MB ,1500mAh,操作系统Legion OS,摄像头摄像头总数2像素后置摄像头1：300万像素前置摄像头1：30万像素传感器类型CMOS,7.4星
联想,联想P80,机身颜色星月银色，山茶红色，鸢尾蓝色，威忌金色，丁香紫紫色，青柠绿色，摩卡咖色  ,555,空,,870mAh,操作系统Legion OS,摄像头摄像头总数1像素320万像素传感器类型CMOS,6.9星
联想,联想K5 Note（3GB RAM/全网通）,机身颜色黑色，金色，蓝色  ,645,CPU型号高通 骁龙450,3GB 32GB ,3760mAh,操作系统Legion OS,摄像头摄像头总数3像素后置摄像头1：1600万像素后置摄像头2：200万像素前置摄像头1：800万像素光圈传感器类型CMOS闪光灯LED补光灯,8.1星
联想,联想A520,机身颜色白色，灰色，粉色  ,560,CPU型号MTK6573,512MB ,1500mAh,操作系统Legion OS,摄像头摄像头总数2像素后置摄像头1：500万像素前置摄像头1：30万像素传感器类型CMOS,5.2星
联想,联想P700,机身颜色夜光蓝，典雅红  ,850,CPU型号MT6575,512MB 4GB ,2500mAh,操作系统Legion OS,摄像头摄像头总数2像素后置摄像头1：500万像素前置摄像头1：30万像素传感器类型CMOS,6.6星
联想,联想K10（K10e70/全网通）,机身颜色黑色，白色  ,459,四核,后置摄像头1 8GB/16GB ,2300mAh,操作系统Legion OS,摄像头摄像头总数2像素后置摄像头1：800万像素前置摄像头1：200万像素闪光灯LED补光灯,5.9星
联想,联想A850（联通版）,机身颜色黑色，白色  ,379,空,1GB 4GB ,2250mAh,安卓,摄像头摄像头总数2像素后置摄像头1：800万像素前置摄像头1：200万像素闪光灯LED补光灯,7.7星
联想,联想A500,机身颜色黑色，白色  ,580,CPU型号MTK6573,256MB ,1500mAh,操作系统Legion OS,摄像头摄像头总数2像素后置摄像头1：500万像素前置摄像头1：30万像素传感器类型CMOS,5.8星
联想,联想S720,机身颜色雪白色，粉红色  ,700,CPU型号联发科 MT6577,512MB 4GB ,2000mAh,操作系统Legion OS,摄像头摄像头总数2像素后置摄像头1：800万像素前置摄像头1：130万像素光圈传感器类型CMOS闪光灯LED补光灯,5.9星
联想,联想VIBE P2（全网通）,机身颜色金色，银色，灰色  ,1509,CPU型号高通 骁龙625（MSM8953）,后置摄像头1 64GB ,5100mAh,操作系统Legion OS,摄像头摄像头总数2像素后置摄像头1：1300万像素前置摄像头1：500万像素传感器类型CMOS闪光灯LED补光灯,7.8星
联想,联想VIBE Z2 Pro（K920/移动4G）,机身颜色银色  ,1268,CPU型号高通 骁龙801（MSM8974AC）,后置摄像头1 32GB ,4000mAh,操作系统Legion OS,摄像头摄像头总数2像素后置摄像头1：1600万像素前置摄像头1：500万像素光圈传感器类型堆栈式/积层式 CMOS（Exmor RS）闪光灯LED补光灯（双）,7.8星
联想,联想Z6 青春版（4GB/64GB/全网通）,机身颜色骑士黑，幻彩星尘  ,1620,CPU型号高通 骁龙710,4GB 64GB ,4050mAh,操作系统ZUI 11（基于Android P）,摄像头摄像头总数4像素后置摄像头1：1600万像素后置摄像头2：800万像素后置摄像头3：500万像素前置摄像头1：1600万像素闪光灯双高显指闪光灯,7.6星
联想,联想A670t（移动3G）,,430,CPU型号联发科 MT6589,512MB 4GB ,1700mAh,操作系统Legion OS,摄像头摄像头总数2像素后置摄像头1：800万像素前置摄像头1：200万像素传感器类型CMOS闪光灯LED补光灯,5.8星
联想,联想P700i,机身颜色清新白色，雅典红色，夜光蓝色  ,640,空,后置摄像头1 4GB ,2500mAh,操作系统Legion OS,摄像头摄像头总数2像素后置摄像头1：500万像素前置摄像头1：30万像素传感器类型CMOS,6.6星
联想,联想S2（联通版）,机身颜色星夜黑  ,920,CPU型号高通 骁龙Snapdragon MSM8255,后置摄像头1 ,1500mAh,操作系统Legion OS,摄像头摄像头总数2像素后置摄像头1：800万像素前置摄像头1：30万像素传感器类型CMOS,6.3星
联想,联想S898t（移动3G）,机身颜色白色，灰色  ,399,CPU型号联发科 MT6589T,1GB 8GB ,2000mAh,操作系统Legion OS,摄像头摄像头总数2像素后置摄像头1：1300万像素前置摄像头1：200万像素光圈传感器类型背照式/BSI CMOS（二代）闪光灯LED补光灯,8.5星
联想,联想A628t,机身颜色红色  ,340,CPU型号联发科 MT6582M,512MB 4GB ,2000mAh,操作系统Legion OS,摄像头摄像头总数2像素后置摄像头1：500万像素前置摄像头1：200万像素传感器类型CMOS闪光灯LED补光灯,5.8星
联想,联想A60,机身颜色黑色，白色  ,600,CPU型号联发科 MT6573,256MB 512MB ,1500mAh,操作系统Legion OS,摄像头摄像头总数2像素后置摄像头1：320万像素前置摄像头1：30万像素传感器类型CMOS,6.0星
